Users,Category
France gov,Countries
USA gov,Countries
Chine gov,Countries
Kazakstan gov,Countries
El salvador gov,Countries
United States gov,Countries
Japan gov,Countries
India gov,Countries
United Kingdom gov,Countries
Brazil gov,Countries
Indonesia gov,Countries
Turkey gov,Countries
Saudi Arabia gov,Countries
Mexico gov,Countries
Thailand gov,Countries
France gov,Countries
Philippines gov,Countries
Spain gov,Countries
Germany gov,Countries
Canada gov,Countries
Nigeria gov,Countries
Kenya gov,Countries
Vietnam gov,Countries
Pakistan gov,Countries
Ukraine gov,Countries
Vénézuela gov,Countries
Togo gov,Countries
Argentina gov,Countries
Colombia gov,Countries
South Africa gov,Countries
Russia gov,Countries
Ghana gov,Countries
Tanzania gov,Countries
Afghanistan gov,Countries
Joe Biden,Presidents
Macron,Presidents
Barack Obama,Presidents
Vladimir Poutine,Presidents
Recep Tayyip Erdogan,Presidents
Angela Merkel,Presidents
Theresa May,Presidents
Boris Johnson,Presidents
Xi Jinping,Presidents
Shinzo Abe,Presidents
Ram Nath Kovind,Presidents
Jair Bolsonaro,Presidents
Joko Widodo,Presidents
Recep Tayyip Erdoğan,Presidents
Mohammed ben Salmane,Presidents
Andrés Manuel López Obrador,Presidents
Rodrigo Duterte,Presidents
Pedro Sánchez,Presidents
Frank-Walter Steinmeier,Presidents
Justin Trudeau,Presidents
Muhammadu Buhari,Presidents
Uhuru Kenyatta,Presidents
Nguyễn Xuân Phúc,Presidents
Arif Alvi,Presidents
Volodymyr Zelensky,Presidents
Juan Guaido,Presidents
Faure Gnassingbé,Presidents
Alberto Fernández,Presidents
Iván Duque Márquez,Presidents
Cyril Ramaphosa,Presidents
Nana Akufo-Addo,Presidents
Samia Suluhu Hassan,Presidents
Ashraf Ghani,Presidents
Franck Riester,Political figures
Jean-Baptiste Lemoyne,Political figures
Clément Beaune,Political figures
Barbara Pompili,Political figures
Emmanuelle Wargon,Political figures
Jean-Baptiste Djebbari,Political figures
Bérangère Abba,Political figures
Jean-Michel Blanquer,Political figures
Roxana Maracineanu,Political figures
Nathalie Élimas,Political figures
Sarah El Haïry,Political figures
Bruno Le Maire,Political figures
Olivier Dussopt,Political figures
Agnès Pannier-Runacher,Political figures
Cédric O,Political figures
Olivia Grégoire,Political figures
Florence Parly,Political figures
Geneviève Darrieussecq,Political figures
Gérald Darmanin,Political figures
Marlène Schiappa,Political figures
Élisabeth Borne,Political figures
Brigitte Klinkert,Political figures
Laurent Pietraszewski,Political figures
Sébastien Lecornu,Political figures
Jacqueline Gourault,Political figures
Nadia Hai,Political figures
Joël Giraud,Political figures
Éric Dupond-Moretti,Political figures
Roselyne Bachelot,Political figures
Olivier Véran,Political figures
Brigitte Bourguignon,Political figures
Adrien Taquet,Political figures
Annick Girardin,Political figures
Frédérique Vidal,Political figures
Julien Denormandie,Political figures
Amélie de Montchalin,Political figures
FrancoisFillon,Political figures
CecileDuflot,Political figures
JY_LeDrian,Political figures
ChTaubira,Political figures
EPhilippe_LH,Political figures
partisocialiste,Political figures
f_philippot,Political figures
manuelvalls,Political figures
vpecresse,Political figures
CNN Breaking News,Journalists / Media
Sky,Journalists / Media
BBC,Journalists / Media
NBC,Journalists / Media
CBS,Journalists / Media
ABC,Journalists / Media
Fox,Journalists / Media
The CW,Journalists / Media
Bloomberg,Journalists / Media
Bloomberg Economics,Journalists / Media
MITEcon,Journalists / Media
JPubEcon,Journalists / Media
LSEnews,Journalists / Media
EricMorath,Journalists / Media
EP_Economics,Journalists / Media
PIIE,Journalists / Media
PSEinfo,Journalists / Media
WSJecon,Journalists / Media
NEF,Journalists / Media
economics_ma,Journalists / Media
wu_vienna,Journalists / Media
PrincetonEcon,Journalists / Media
ING_economics,Journalists / Media
YahooFinance,Journalists / Media
FinMinIndia,Journalists / Media
FinMinNigeria,Journalists / Media
BBCBusiness,Journalists / Media
DOF_PH,Journalists / Media
MOFKSA,Journalists / Media
JofFinance,Journalists / Media
IFC_org,Journalists / Media
Onfinance,Journalists / Media
business,Journalists / Media
BloombergTV,Journalists / Media
MikeBloomberg,Journalists / Media
BloombergUK,Journalists / Media
Quicktake,Journalists / Media
BGOV,Journalists / Media
Blaw,Journalists / Media
bpolitics,Journalists / Media
BW,Journalists / Media
bopinion,Journalists / Media
markets,Journalists / Media
brutofficiel,Journalists / Media
Le_Figaro,Journalists / Media
MonsieurDream,Journalists / Media
BFMParis,Journalists / Media
le_Parisien,Journalists / Media
Mediavenir,Journalists / Media
LesEchos,Journalists / Media
franceinter,Journalists / Media
Qofficiel,Journalists / Media
canardenchaine,Journalists / Media
lobs,Journalists / Media
afpfr,Journalists / Media
lemondefr,Journalists / Media
libe,Journalists / Media
renaudpila,Journalists / Media
Elon Musk,Famous founders
Jeff Bezos,Famous founders
Daniel Ek,Famous founders
Mark Zuckerberg,Famous founders
Brian Chesky,Famous founders
Katrina Lake,Famous founders
Travis Kalanick,Famous founders
Jack Dorsey,Famous founders
Bill Gates,Famous founders
Peter Thiel,Famous founders
Angela Ahrendts,Famous founders
Bernard Arnaud,Famous founders
Barbara Corcoran,Famous founders
Amancio Ortega,Famous founders
Alice Walton,Famous founders
Tim Cook,Famous founders
Sundar Pichai,Famous founders
Larry Page,Famous founders
Susan Wojcicki,Famous founders
Donald Trump,Famous founders
Pierre Hermé,Famous founders
Isabel Marant,Famous founders
Jean Nouvel,Famous founders
Dominique Cren,Famous founders
Joël Robuchon,Famous founders
André Choulika,Famous founders
Xavier Niel,Famous founders
Laetitia Garriott de Cayeux,Famous founders
Judith Milgrom,Famous founders
Evelyne Chetrite,Famous founders
Quentin Sannié,Famous founders
Vanessa Seward,Famous founders
Cécile Schmollgruber,Famous founders
Thierry Despont,Famous founders
Aurélie Bidermann,Famous founders
Alexandra Mentzelopoulos,Famous founders
DujunX,Famous founders
saylor,Famous founders
richardbranson,Famous founders
jattali,Famous founders
jeffweiner,Famous founders
marissamayer,Famous founders
Justin Bieber,Artists/Personnalities
Katy Perry,Artists/Personnalities
Rihanna,Artists/Personnalities
Christian Ronaldo,Artists/Personnalities
Taylor Swift,Artists/Personnalities
Ariana Grande,Artists/Personnalities
Lady Gaga,Artists/Personnalities
Ellen DeGeneres,Artists/Personnalities
Narendra Modi,Artists/Personnalities
Kim Kardashian West,Artists/Personnalities
Selena Gomez,Artists/Personnalities
Justin Timberlake,Artists/Personnalities
Britney Spears,Artists/Personnalities
Demi Lovato,Artists/Personnalities
Shack O'neil,Artists/Personnalities
Nyjah Huston,Artists/Personnalities
Gary Neville,Artists/Personnalities
Paul Scholes,Artists/Personnalities
Peter Lim,Artists/Personnalities
Seb_Frit,Artists/Personnalities
idrissaberkane,Artists/Personnalities
JoycaOff,Artists/Personnalities
Vitalik Buterin,Cryto Influencer
Roger Ver,Cryto Influencer
Andreas Antonopoulos,Cryto Influencer
Tim Draper,Cryto Influencer
Charlie Lee,Cryto Influencer
Anthony Pompliano,Cryto Influencer
Erik Voorhees,Cryto Influencer
Tone Vays,Cryto Influencer
John McAfee,Cryto Influencer
Ivan on Tech,Cryto Influencer
CryptoBrekkie,Cryto Influencer
Dan Held ,Cryto Influencer
Layah Heilpern,Cryto Influencer
Kenn Bosak,Cryto Influencer
Ben Horowitz,Cryto Influencer
Ben Armstrong,Cryto Influencer
Adam Back,Cryto Influencer
Alena Vranova,Cryto Influencer
Amber Baldet,Cryto Influencer
Ameer Rosic,Cryto Influencer
Arcane Bear,Cryto Influencer
Ari Paul,Cryto Influencer
Bad Crypto Podcast,Cryto Influencer
Barry Silbert,Cryto Influencer
Bitcoin Fund Manager,Cryto Influencer
Bitcoin Podcast Network,Cryto Influencer
Blockchain Insider,Cryto Influencer
Brendan Eich,Cryto Influencer
Brian Armstrong,Cryto Influencer
Cameron Winklevoss,Cryto Influencer
Charles Hoskinson,Cryto Influencer
Charlie Shrem,Cryto Influencer
Chris Burniske,Cryto Influencer
Chris DeRoser,Cryto Influencer
Chris Dixon,Cryto Influencer
Chris Dunn ,Cryto Influencer
Chris Herd,Cryto Influencer
Clay Colllins,Cryto Influencer
Coin Mastery,Cryto Influencer
Crypto 101,Cryto Influencer
Crypto bobby,Cryto Influencer
Crypto Daily,Cryto Influencer
Crypto Investor,Cryto Influencer
Crypto Love,Cryto Influencer
Crypto Oracle,Cryto Influencer
Crypto Tips,Cryto Influencer
CryptoBud,Cryto Influencer
CryptoPortofolio,Cryto Influencer
Cryptosomniac,Cryto Influencer
Dan Morehead,Cryto Influencer
Daniel Jeffries,Cryto Influencer
Daniel Larimer,Cryto Influencer
Dave Balter,Cryto Influencer
David Gilbertson,Cryto Influencer
David Hay,Cryto Influencer
Decentralized TV,Cryto Influencer
Don Tapscott,Cryto Influencer
Doug Polk,Cryto Influencer
Dr. Julian Hosp,Cryto Influencer
Elizabeth Stark,Cryto Influencer
Epicenter,Cryto Influencer
Erik Voorhees,Cryto Influencer
Francis Hunt,Cryto Influencer
Fred Ehrsam,Cryto Influencer
Frederick Munawa,Cryto Influencer
Garry Tan,Cryto Influencer
Gavin Andresen,Cryto Influencer
Ian Balina,Cryto Influencer
ICO Alert,Cryto Influencer
Ivan on Tech,Cryto Influencer
J. Dax Hansen ,Cryto Influencer
Jack Morse,Cryto Influencer
Jeff Kauflin,Cryto Influencer
Jesse Walden,Cryto Influencer
Jimmy Song,Cryto Influencer
Joseph Lubin,Cryto Influencer
Joseph Young,Cryto Influencer
Kathryn Haun,Cryto Influencer
Laura Shin,Cryto Influencer
LedgerCast,Cryto Influencer
Let's Talk Bitcoin,Cryto Influencer
Lily Katz,Cryto Influencer
Linda Xie,Cryto Influencer
Lou Kerner,Cryto Influencer
Louis Thomas,Cryto Influencer
Matthew Walsh,Cryto Influencer
Meltem Demirors,Cryto Influencer
Michael Gu,Cryto Influencer
Michael Novogratz,Cryto Influencer
Nathaniel Popper,Cryto Influencer
Neha Narula,Cryto Influencer
Nicholas Merten,Cryto Influencer
Nick Szabo,Cryto Influencer
Omar Bham,Cryto Influencer
Paul Vigna,Cryto Influencer
Perianne Boring,Cryto Influencer
Pieter Wuille,Cryto Influencer
Rachel Wolfson,Cryto Influencer
Ran Neuner,Cryto Influencer
Ravinder Deol,Cryto Influencer
Richard Heart,Cryto Influencer
Sarah Hodges,Cryto Influencer
School of Crypto,Cryto Influencer
Stefano Bernardi,Cryto Influencer
Sunny Decree,Cryto Influencer
Suppoman,Cryto Influencer
The Blockchain Show,Cryto Influencer
The Chart Guys,Cryto Influencer
The Crypto Lark,Cryto Influencer
Thomas Hunt,Cryto Influencer
Tone Vays,Cryto Influencer
Tyler Winklevoss,Cryto Influencer
Vinny Lingham,Cryto Influencer
Vitalik Buterin,Cryto Influencer
PlanB,Cryto Influencer
Luciano,Cryto Influencer
Rachel Voss,Cryto Influencer
Dan Held,Cryto Influencer
CryptoBro,Cryto Influencer
Tyler Winklevoss,Cryto Influencer
Robert Dobbs,Cryto Influencer
Juli Crypto,Cryto Influencer
Beniamin Mincu,Cryto Influencer
Peter Schiff,Cryto Influencer
Lark Davis,Cryto Influencer
Rekt Capital,Cryto Influencer
XRP Bro,Cryto Influencer
David Gokhshtein,Cryto Influencer
Mario,Cryto Influencer
TheCryptoDog,Cryto Influencer
TheMoon,Cryto Influencer
CRYPTOBURB,Cryto Influencer
Crypto Explorer,Cryto Influencer
Michaël van de Poppe,Cryto Influencer
Anthony Scaramucci,Cryto Influencer
Matt Wallace,Cryto Influencer
Willy Woo,Cryto Influencer
Will Clemente,Cryto Influencer
Dan Gambardello,Cryto Influencer
Alex Becker,Cryto Influencer
Mia Crypto,Cryto Influencer
Erik Voorhees,Cryto Influencer
The Wolf of All Streets,Cryto Influencer
Ash WSB,Cryto Influencer
Benjamin Cowen,Cryto Influencer
TRex Crypto,Cryto Influencer
Johnny (cryptogodjohn),Cryto Influencer
Ran Neuner,Cryto Influencer
Girl Gone Crypto,Cryto Influencer
Pentosh1,Cryto Influencer
Crypto Ape,Cryto Influencer
Barby Crypto,Cryto Influencer
Itsallrisky,Cryto Influencer
Aleksandra Huk,Cryto Influencer
roham,Cryto Influencer
BCE,Institutions & Banques
FED,Institutions & Banques
FMI,Institutions & Banques
IBRD International Bank for Reconstruction and Development,Institutions & Banques
IFC International Financial Corporation,Institutions & Banques
AID Association internationale de développement, Institutions & Banques
CIRDI Centre international pour le règlement des différends relatifs aux investissements,Institutions & Banques
AMGI Agence multilatérale de garantie des investissements, Institutions & Banques
Accords du General agreement on tariffs and trade qui seront la base de la création de l'OMC en 1995,Institutions & Banques
BID Banque interaméricaine de développement,Institutions & Banques
BAD Banque africaine de développement,Institutions & Banques
BAsD Banque asiatique de développement,Institutions & Banques
BERD Banque européenne pour la reconstruction et le développement,Institutions & Banques
BDCE Banque de développement du Conseil de l'Europe,Institutions & Banques
BOAD Banque ouest-africaine de développement,Institutions & Banques
BDEAC Banque de développement des États de l'Afrique Centrale,Institutions & Banques
BCE Banque centrale européenne,Institutions & Banques
BRI Banque des règlements internationaux,Institutions & Banques
Association des Banques Centrales Africaines (ABCA),Institutions & Banques
BEI Banque européenne d'investissement,Institutions & Banques
Banque de développement de la Mer Noire,Institutions & Banques
Banque Internationale d'Investissement du Comecon,Institutions & Banques
Banque islamique de développement,Institutions & Banques
Banque nordique d'investissement,Institutions & Banques
BNP Paribas,Institutions & Banques
Credit mutuel,Institutions & Banques
Industrial and Commercial Bank of China (ICBC),Institutions & Banques
China Construction Bank Corporation,Institutions & Banques
Agricultural Bank of China,Institutions & Banques
Bank of China ltd,Institutions & Banques
JPMorgan Chase,Institutions & Banques
Mitsubishi UFJ Financial Group,Institutions & Banques
Bank of America (BoA),Institutions & Banques
HSBC,Institutions & Banques
Crédit Agricole,Institutions & Banques
Citigroup,Institutions & Banques
Sumitomo Mitsui Financial Group,Institutions & Banques
Japan Post Bank,Institutions & Banques
Mizuho Financial Group,Institutions & Banques
Wells Fargo & Co.,Institutions & Banques
Banko Santander,Institutions & Banques
Societe Generale,Institutions & Banques
Postal Savings Bank of China,Institutions & Banques
Groupe BPCE,Institutions & Banques
Deutsche Bank,Institutions & Banques
U.S. Securities and Exchange Commission,Institutions & Banques
Goldman Sachs,Institutions & Banques
Natixis,Institutions & Banques
AMF Autorité des marchés financiers,Institutions & Banques
Interieur_Gouv,Institutions & Banques
Elysee,Institutions & Banques
BlackRock,Gestionnaires d'actifs
Vanguard Group,Gestionnaires d'actifs
Fidelity Investments,Gestionnaires d'actifs
State Street Group,Gestionnaires d'actifs
Allianz Group,Gestionnaires d'actifs
J.P. Morgan Chase,Gestionnaires d'actifs
Capital Group,Gestionnaires d'actifs
BNY Mellon,Gestionnaires d'actifs
Goldman Sachs Group,Gestionnaires d'actifs
Amundi,Gestionnaires d'actifs
Legal & General Group,Gestionnaires d'actifs
Prudential Financial ,Gestionnaires d'actifs
UBS  ,Gestionnaires d'actifs
Franklin Templeton,Gestionnaires d'actifs
